@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P1100.0-S1'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
0.666667,0,2,0.481481,0,0,127,no
0.666667,0,2,0.594924,0,0,130,no
1,1,1,0.545455,0,0,138,no
1,1,4,0.875,0,0,122,no
0,0,0,0.5,0,0,125,no
1,1,3,0.885154,0,0,129,no
0.5,0,3,0.684028,0,0,80,no
1,1,1,1,0,0,89,no
0,0,0,0.5,0,0,97,no
1,1,3,0.683761,0,0,115,no
0.333333,0,2,0.621327,0,0,59,no
1,1,1,1,0,0,72,no
0.5,0,2,0.518841,0,0,63,no
0,0,0,0.666667,0,0,73,no
0.333333,0,1,0.594083,0,0,85,no
1,1,1,0.73913,0,0,97,no
1,1,2,0.859375,0,0,99,no
0.5,0,4,0.682576,0,0,103,no
1,1,1,0.5,0,0,53,no
1,1,3,0.783069,0,0,56,no
0.666667,0,2,0.839572,0,0,58,no
0.333333,0,1,0.16336,9,3,91,no
1,1,3,0.630853,0,0,102,no
1,1,1,0.428571,0,0,106,no
1,1,2,0.708995,0,0,113,no
1,1,1,0.7,0,0,123,no
1,1,1,1,0,0,127,no
0,0,0,0,0,0,131,no
1,1,2,0.875,0,0,137,no
1,1,2,0.916667,0,0,141,no
1,1,2,0.681391,0,0,151,no
0.666667,0,2,0.611451,0,0,161,no
1,1,1,0.444444,0,0,72,no
0.666667,0,2,0.519841,0,0,74,no
1,1,2,0.558355,0,0,76,no
0.333333,0,1,0.555556,0,0,82,no
0,0,0,0.5,0,0,97,no
1,1,1,0.5,0,0,22,no
1,1,1,1,0,0,89,no
0.5,0,1,0.719608,0,0,119,no
0.5,0,1,0.733193,0,0,141,no
1,1,1,0.777778,0,0,118,no
1,1,2,0.757353,0,0,123,no
1,1,1,0.333333,0,0,128,no
0.5,0,2,0.694073,0,0,139,no
1,1,3,0.657334,0,0,145,no
0.25,0,1,0.529202,0,0,153,no
1,1,1,0.8,0,0,159,no
1,1,4,0.980769,0,0,77,no
1,1,1,1,0,0,85,no
1,1,3,0.981481,0,0,91,no
0,0,0,0.447368,0,0,97,no
0,0,0,0.680556,0,0,72,no
