@relation 'Affect_Clip_Labels_full-weka.filters.unsupervised.attribute.Remove-V-R4,106,157,55,26,176,23,77,74,147,205-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,6,7,10,11-weka.filters.supervised.instance.SMOTE-C0-K5-P560.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute averagecorrect numeric
@attribute mincorrect numeric
@attribute sumcorrect numeric
@attribute averagepercentcorrectperskill numeric
@attribute sumhinttotal numeric
@attribute averagehinttotal numeric
@attribute mintotalfrattempted numeric
@attribute class {no,yes}

@data
1,1,4,0.570489,0,0,277,no
0,0,0,0.610997,2.387622,2.837927,141.101345,yes
0.25,0,1,0.041667,8,2,65,no
0,0,0,0.494444,2,1,22,no
0,0,0,0.262931,6,3,9,no
0,0,0,0.555556,4,4,14,no
1,1,1,0.26087,0,0,15,no
1,1,1,1,0,0,143,no
1,1,1,0.6,0,0,186,no
1,1,1,0.666667,0,0,48,no
0,0,0,0,4,4,32,no
0,0,0,0.244048,2,1,36,no
1,1,3,0.589286,0,0,109,no
0,0,0,0.375,0,0,280,no
1,1,1,0.552381,0,0,276,no
0,0,0,0,4,2,21,no
1,1,1,0.268293,3,3,17,no
0,0,0,0,6,2,5,yes
0,0,0,0.245898,3.434544,3.01185,4.800879,yes
0.390478,0,0.26372,0.473117,7.890413,1.756737,41,yes
1,1,1,0.833333,0,0,4,no
1,1,1,0.88,0,0,98,no
0,0,0,0.205556,9,3,9,no
1,1,1,0.579832,0,0,270,no
0,0,0,0,0,0,20,no
1,1,1,0.75,0,0,105,no
1,1,1,0.444444,3,3,21,no
0.333333,0,1,0.117989,9,3,121,no
1,1,1,0.333333,4,4,19,no
1,1,1,0.513514,0,0,104,no
1,1,1,0.5,0,0,82,no
1,1,1,1,2,2,3,no
1,1,1,0.230769,4,4,11,yes
0.25584,0,0.426126,0.003665,7.323636,3.448784,6.842309,yes
0.5,0,1,0.343137,4,2,26,no
0,0,0,0,9,3,13,no
1,1,2,0.875,0,0,194,no
1,1,1,0.846154,0,0,14,no
1,1,1,1,4,4,5,no
0,0,0,0.358933,3.133826,3.758842,29.82153,yes
1,1,1,0.556962,0,0,268,no
0,0,0,0,2,2,11,no
0.271704,0,0.299583,0.532768,3.796999,3,27.65714,yes
1,1,2,0.65,0,0,78,no
0.333333,0,1,0.02381,12,4,7,yes
